D,PyTorch (ms),Triton LSEMM (ms),Triton LSEMMO (ms),Speedup LSEMM,Speedup LSEMMO
128,84.99,54.27,54.27,1.57x,1.57x
256,108.54,62.46,63.49,1.74x,1.71x
384,118.78,69.63,70.66,1.71x,1.68x
512,151.55,77.82,76.80,1.95x,1.97x
640,174.08,84.99,86.02,2.05x,2.02x
768,192.51,92.16,92.16,2.09x,2.09x
896,220.16,101.38,102.40,2.17x,2.15x
1024,234.50,111.62,113.66,2.10x,2.06x
