D,PyTorch (ms),Triton (ms),Speedup
128,16.38,8.19,2.00x
256,19.46,9.22,2.11x
384,22.53,11.26,2.00x
512,27.65,13.31,2.08x
640,31.74,15.36,2.07x
768,34.82,16.38,2.13x
896,40.96,18.43,2.22x
1024,47.10,20.48,2.30x
