V,PyTorch (ms),Triton LSEMM (ms),Triton LSEMMO (ms),Speedup LSEMM,Speedup LSEMMO
1000,70.66,55.30,54.27,1.28x,1.30x
2000,141.31,76.80,76.80,1.84x,1.84x
3000,208.90,97.28,100.35,2.15x,2.08x
4000,265.22,118.78,117.76,2.23x,2.25x
5000,334.34,139.26,143.36,2.40x,2.33x
6000,372.74,155.65,157.70,2.39x,2.36x
7000,463.87,176.13,179.20,2.63x,2.59x
8000,518.14,199.68,201.73,2.59x,2.57x
9000,590.85,220.16,227.33,2.68x,2.60x
10000,679.94,244.74,248.83,2.78x,2.73x
