N,PyTorch (ms),Triton (ms),Speedup
128,16.38,11.26,1.45x
256,19.46,12.29,1.58x
384,22.53,12.29,1.83x
512,26.62,13.31,2.00x
640,30.72,14.34,2.14x
768,34.82,14.34,2.43x
896,40.96,15.36,2.67x
1024,46.08,16.38,2.81x
1152,53.25,18.43,2.89x
1280,62.46,19.46,3.21x
1408,67.58,20.48,3.30x
1536,74.75,21.50,3.48x
1664,80.90,23.55,3.43x
1792,88.06,24.58,3.58x
1920,95.23,25.60,3.72x
2048,100.35,26.62,3.77x
